h_geoid,wm_overall,wm_1_2,wm_3,obs_overall,obs_1_2,obs_3
11001009400,7.552,7.822,7.306,2234.967,1066.467,1168.5
11001009501,7.46,6.942,8.207,2336.267,1379.85,956.417
11001009503,7.808,8.492,7.253,1735.9,776.25,959.65
11001009504,7.222,7.348,7.099,1902.95,937.15,965.8
11001009505,7.741,7.551,7.944,1671.4,864.083,807.317
11001009507,7.832,7.761,7.938,1166.383,696.683,469.7
11001009508,7.196,7.345,7.002,1857.483,1049.833,807.65
11001009509,7.485,7.92,7.058,1817.967,900.7,917.267
11001009601,8.969,9.008,8.888,1382.083,936.683,445.4
11001009602,8.577,8.393,9.072,1755.683,1279.333,476.35
11001009603,8.577,8.681,8.38,1885.85,1232.233,653.617
11001009604,8.413,8.884,7.652,1404.233,867.95,536.283
11001009700,9.483,9.663,9.168,1704.667,1083.417,621.25
11001009801,8.873,8.726,9.161,1064.017,705.083,358.933
11001009802,9.701,9.737,9.625,1061.317,717.567,343.75
11001009803,9.244,9.518,8.707,1550.65,1027.683,522.967
11001009804,8.746,8.838,8.565,1558.433,1032.417,526.017
11001009807,9.172,9.342,8.848,1768.417,1159.667,608.75
11001009810,9.351,9.238,9.693,1410.983,1062.483,348.5
11001009811,9.247,9.044,9.934,1994.967,1539.467,455.5
11001009901,8.974,10.427,7.454,1470.833,752.133,718.7
11001009902,8.723,9.072,8.232,1677.067,979.1,697.967
11001009903,9.373,9.6,9.027,1321.55,796.633,524.917
11001009904,9.195,9.29,9.007,1494.383,989.467,504.917
11001009905,9.467,9.404,9.598,1522.75,1028.4,494.35
11001009906,8.813,8.817,8.806,1103.033,681.633,421.4
11001009907,9.072,8.949,9.345,1466.583,1013.85,452.733
11001010100,5.438,6.65,4.835,2013.283,668.617,1344.667
11001010200,6.278,7.801,5.491,1894.067,645.083,1248.983
11001010300,7.984,7.829,8.187,1920.317,1090.817,829.5
11001010400,8.338,8.451,8.117,1886.3,1248.333,637.967
11001010500,6.468,7.275,5.864,2275.983,973.633,1302.35
11001010600,5.32,6.275,4.819,3294.567,1132.55,2162.017
11001010700,5.62,7.63,4.645,1731.833,565.55,1166.283
11001010800,10.017,9.587,10.368,1303.4,585.95,717.45
11001010900,10.03,9.968,10.2,1549.433,1136.683,412.75
11001011000,7.084,8.311,6.406,2276.4,810.3,1466.1
11001011100,7.342,7.513,7.157,2358.433,1221.117,1137.317
24009860101,28.446,30.808,27.597,294.133,77.85,216.283
24009860102,29.593,31.318,28.978,287.433,75.567,211.867
24009860200,30.467,32.625,29.74,434.683,109.55,325.133
24009860300,35.327,37.391,34.552,361.283,98.567,262.717
24009860401,35.24,38.245,34.213,666.25,169.65,496.6
24009860402,35.98,37.318,35.44,309.95,89.1,220.85
24009860501,37.864,38.879,37.517,447.133,113.983,333.15
24009860502,39.911,41.194,39.502,278.783,67.35,211.433
24009860600,34.124,37.224,33.141,511.8,123.183,388.617
24009860701,37.318,39.697,36.592,243.217,56.867,186.35
24009860702,38.45,41.004,37.612,272.85,67.45,205.4
24009860703,39.886,40.588,39.631,303.95,81.083,222.867
24009860801,44.414,45.391,44.092,446.217,110.467,335.75
24009860802,44.321,45.566,43.843,396.6,110.1,286.5
24009860900,51.318,53.125,50.637,554.05,151.767,402.283
24009861001,51.314,51.378,51.29,150.283,41.417,108.867
24009861003,54.969,55.952,54.593,528.883,146.45,382.433
24009861004,54.038,57.368,52.808,495.583,133.7,361.883
24009990100,38.9,39.708,37.03,13.25,9.25,4
24017850101,17.319,17.394,17.285,1441.033,445.183,995.85
24017850102,20.897,20.588,21.106,712.617,286.75,425.867
24017850201,21.835,21.236,22.449,462.817,234.417,228.4
24017850202,20.427,20.132,20.602,1023.8,382.067,641.733
24017850300,22.876,22.384,23.266,594.2,262.267,331.933
24017850400,29.358,28.04,30.283,753.617,310.75,442.867
24017850500,28.006,27.285,28.494,674.683,272.417,402.267
24017850600,24.318,24.424,24.269,1066.233,335.4,730.833
24017850706,20.744,21.893,20.295,1366.033,384.367,981.667
24017850708,20.096,21.053,19.692,1328.05,394.117,933.933
24017850709,21.274,21.783,21.052,1564.533,474.667,1089.867
24017850710,20.935,21.903,20.513,1308.733,397.717,911.017
24017850711,21.365,22.159,21.012,1290.583,397.4,893.183
